diffClass [hash=57198ab, filename=.gitignore, changedLines=4, count=6, max=6]
diffClass [hash=57198ab, filename=.gitignore, changedLines=5, count=1, max=1]
diffClass [hash=57198ab, filename=.gitignore, changedLines=6, count=1, max=1]
diffClass [hash=2918882, filename=LICENSE.txt, changedLines=1, count=1, max=1]
diffClass [hash=2918882, filename=LICENSE.txt, changedLines=3, count=4, max=4]
diffClass [hash=2918882, filename=LICENSE.txt, changedLines=5, count=2, max=2]
diffClass [hash=2918882, filename=LICENSE.txt, changedLines=7, count=196, max=196]
diffClass [hash=2918882, filename=LICENSE.txt, changedLines=8, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=1, count=270, max=270]
diffClass [hash=09294d1, filename=README.md, changedLines=2, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=3, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=4, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=5, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=6, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=7, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=8, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=9, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=10, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=11, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=12, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=13, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=14, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=15, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=16, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=17, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=18, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=19, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=20, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=21, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=22, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=23, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=24, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=25, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=26, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=27, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=28, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=29, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=30, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=31, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=32, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=33, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=34, count=1, max=1]
diffClass [hash=09294d1, filename=README.md, changedLines=35, count=1, max=1]
diffClass [hash=0000000, filename=/dev/null, changedLines=0, count=10010, max=10010]
diffClass [hash=31213bf, filename=pom.xml, changedLines=1, count=2, max=2]
diffClass [hash=31213bf, filename=pom.xml, changedLines=2, count=1, max=1]
diffClass [hash=31213bf, filename=pom.xml, changedLines=7, count=43, max=43]
diffClass [hash=31213bf, filename=pom.xml, changedLines=8, count=1, max=1]
diffClass [hash=31213bf, filename=pom.xml, changedLines=10, count=1, max=1]
diffClass [hash=31213bf, filename=pom.xml, changedLines=13, count=30, max=30]
diffClass [hash=31213bf, filename=pom.xml, changedLines=14, count=42, max=42]
diffClass [hash=31213bf, filename=pom.xml, changedLines=18, count=2, max=2]
diffClass [hash=31213bf, filename=pom.xml, changedLines=20, count=1, max=1]
diffClass [hash=31213bf, filename=pom.xml, changedLines=22, count=10, max=10]
diffClass [hash=31213bf, filename=pom.xml, changedLines=23, count=1, max=1]
diffClass [hash=31213bf, filename=pom.xml, changedLines=24, count=1, max=1]
